competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
244,1966,Championnats du Monde,Senior,RUSSIA,1966-07-06,1966-07-16,Foil,Mens,Europe/Moscow,https://fie.org/competitions/1966/244,1966-244,no pools data
142,2005,Löwe von Bonn,Senior,GERMANY,2005-05-07,2005-05-08,Foil,Mens,Europe/Berlin,https://fie.org/competitions/2005/142,2005-142,no pools data
57,2005,Einhorn von Giengen,Junior,GERMANY,2005-02-27,2005-02-27,Foil,Mens,Europe/Berlin,https://fie.org/competitions/2005/57,2005-57,no pools data
843,2007,The 24th Universiade Bangkok 2007,Senior,THAILAND,2007-08-12,2007-08-12,Foil,Mens,Asia/Bangkok,https://fie.org/competitions/2007/843,2007-843,no pools data
940,2014,Championnats d'Europe Cadets,Cadet,ISRAEL,2014-02-23,2014-02-23,Foil,Mens,Asia/Jerusalem,https://fie.org/competitions/2014/940,2014-940,no pools data
49,2004,Challenge Licciardi,Junior,FRANCE,2003-11-30,2003-11-30,Foil,Mens,Europe/Stockholm,https://fie.org/competitions/2004/49,2004-49,no pools data
238,1991,Championnats du Monde,Cadet,ITALY,1991-05-07,1991-05-12,Foil,Mens,Europe/Rome,https://fie.org/competitions/1991/238,1991-238,no pools data
49,2013,Challenge Licciardi,Junior,FRANCE,2013-02-16,2013-02-16,Foil,Mens,Europe/Stockholm,https://fie.org/competitions/2013/49,2013-49,no pools data
1365,2019,Championnats du monde Vétérans 60-69,Veterans,EGYPT,2019-10-08,2019-10-08,Foil,Mens,Africa/Cairo,https://fie.org/competitions/2019/1365,2019-1365,
244,2000,Jeux Olympiques,Senior,AUSTRALIA,2000-09-16,2000-09-24,Foil,Mens,Australia/Sydney,https://fie.org/competitions/2000/244,2000-244,no pools data
132,2006,Copenhagen Cup,Senior,DENMARK,2006-01-14,2006-01-15,Foil,Mens,Europe/Copenhagen,https://fie.org/competitions/2006/132,2006-132,no pools data
45,2004,Memorial de Martinengo,Junior,SLOVAKIA,2003-10-18,2003-10-18,Foil,Mens,Europe/Bratislava,https://fie.org/competitions/2004/45,2004-45,no pools data
