fencer_ID,opp_ID,fencer_age,opp_age,fencer_score,opp_score,winner_ID,fencer_curr_pts,opp_curr_pts,tournament_ID,pool_ID,upset,date
32900,27093,21,24,5,3,32900,0.0,0.0,2015-351,3,False,2015-03-01
32900,36320,21,23,5,3,32900,0.0,0.0,2015-351,3,False,2015-03-01
32900,28421,21,24,2,3,28421,0.0,0.0,2015-351,3,False,2015-03-01
28651,31917,23,22,5,3,28651,0.0,0.0,2015-351,3,False,2015-03-01
28651,30327,23,23,2,5,30327,0.0,6.0,2015-351,3,False,2015-03-01
28651,27093,23,24,1,5,27093,0.0,0.0,2015-351,3,False,2015-03-01
28651,36320,23,23,5,0,28651,0.0,0.0,2015-351,3,False,2015-03-01
28651,28421,23,24,3,5,28421,0.0,0.0,2015-351,3,False,2015-03-01
31917,30327,22,23,2,5,30327,0.0,6.0,2015-351,3,False,2015-03-01
31917,27093,22,24,3,5,27093,0.0,0.0,2015-351,3,False,2015-03-01
31917,36320,22,23,5,3,31917,0.0,0.0,2015-351,3,False,2015-03-01
31917,28421,22,24,2,5,28421,0.0,0.0,2015-351,3,False,2015-03-01
30327,27093,23,24,3,4,27093,6.0,0.0,2015-351,3,True,2015-03-01
30327,36320,23,23,5,0,30327,6.0,0.0,2015-351,3,False,2015-03-01
30327,28421,23,24,5,0,30327,6.0,0.0,2015-351,3,False,2015-03-01
27093,36320,24,23,5,3,27093,0.0,0.0,2015-351,3,False,2015-03-01
27093,28421,24,24,5,3,27093,0.0,0.0,2015-351,3,False,2015-03-01
36320,28421,23,24,5,4,36320,0.0,0.0,2015-351,3,False,2015-03-01
31632,33780,24,22,1,5,33780,0.0,0.0,2015-351,4,False,2015-03-01
31632,31155,24,26,2,5,31155,0.0,0.0,2015-351,4,False,2015-03-01
31632,29761,24,25,5,2,31632,0.0,0.0,2015-351,4,False,2015-03-01
31632,35056,24,24,5,1,31632,0.0,0.0,2015-351,4,False,2015-03-01
31632,30222,24,25,5,2,31632,0.0,0.0,2015-351,4,False,2015-03-01
31632,32902,24,23,2,5,32902,0.0,6.0,2015-351,4,False,2015-03-01
33780,31155,22,26,2,5,31155,0.0,0.0,2015-351,4,False,2015-03-01
33780,29761,22,25,5,0,33780,0.0,0.0,2015-351,4,False,2015-03-01
33780,35056,22,24,5,1,33780,0.0,0.0,2015-351,4,False,2015-03-01
33780,30222,22,25,5,3,33780,0.0,0.0,2015-351,4,False,2015-03-01
33780,32902,22,23,5,2,33780,0.0,6.0,2015-351,4,True,2015-03-01
31155,29761,26,25,5,3,31155,0.0,0.0,2015-351,4,False,2015-03-01
31155,35056,26,24,5,0,31155,0.0,0.0,2015-351,4,False,2015-03-01
31155,30222,26,25,5,1,31155,0.0,0.0,2015-351,4,False,2015-03-01
31155,32902,26,23,5,2,31155,0.0,6.0,2015-351,4,True,2015-03-01
29761,35056,25,24,5,0,29761,0.0,0.0,2015-351,4,False,2015-03-01
29761,30222,25,25,5,2,29761,0.0,0.0,2015-351,4,False,2015-03-01
29761,32902,25,23,2,5,32902,0.0,6.0,2015-351,4,False,2015-03-01
35056,30222,24,25,2,5,30222,0.0,0.0,2015-351,4,False,2015-03-01
35056,32902,24,23,0,5,32902,0.0,6.0,2015-351,4,False,2015-03-01
30222,32902,25,23,5,4,30222,0.0,6.0,2015-351,4,True,2015-03-01
34161,31724,23,22,5,1,34161,0.0,0.0,2015-351,5,False,2015-03-01
34161,26798,23,24,0,5,26798,0.0,0.0,2015-351,5,False,2015-03-01
34161,27945,23,24,2,5,27945,0.0,0.0,2015-351,5,False,2015-03-01
34161,32912,23,22,1,5,32912,0.0,0.0,2015-351,5,False,2015-03-01
34161,30262,23,23,2,5,30262,0.0,5.0,2015-351,5,False,2015-03-01
34161,34342,23,23,2,5,34342,0.0,0.0,2015-351,5,False,2015-03-01
31724,26798,22,24,2,5,26798,0.0,0.0,2015-351,5,False,2015-03-01
31724,27945,22,24,1,5,27945,0.0,0.0,2015-351,5,False,2015-03-01
