competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
740,2016,Championnats d'Europe,Senior,POLAND,2016-06-21,2016-06-21,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2016/740,2016-740,
237,2008,Champ du monde juniors-cadets,Cadet,ITALY,2008-04-08,2008-04-08,Foil,Womens,Europe/Rome,https://fie.org/competitions/2008/237,2008-237,no pools data
118,2014,Fleuret de St-Petersbourg,Senior,RUSSIA,2014-02-26,2014-02-27,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2014/118,2014-118,no pools data
586,2008,Championnats d'Afrique,Senior,MOROCCO,2008-04-27,2008-04-27,Foil,Womens,Africa/Casablanca,https://fie.org/competitions/2008/586,2008-586,no pools data
37,2015,Memorial de Martinengo,Junior,SLOVAKIA,2014-11-21,2014-11-21,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2015/37,2015-37,
1105,2017,Championnats du monde vétérans 50-59,Veterans,SLOVENIA,2017-10-18,2017-10-18,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1105,2017-1105,
939,2010,Championnats d'Europe Cadets,Cadet,GREECE,2010-03-02,2010-03-07,Foil,Womens,Europe/Athens,https://fie.org/competitions/2010/939,2010-939,no pools data
127,2015,The Artus Court PKO BP,Senior,POLAND,2015-01-16,2015-01-17,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2015/127,2015-127,
34,2004,Tournoi international,Junior,ITALY,2003-12-20,2003-12-20,Foil,Womens,Europe/Rome,https://fie.org/competitions/2004/34,2004-34,no pools data
243,1976,Jeux Olympiques,Senior,CANADA,1976-07-17,1976-08-01,Foil,Womens,America/Toronto,https://fie.org/competitions/1976/243,1976-243,no pools data
444,2013,Coupe du Monde,Junior,CROATIA,2013-01-19,2013-01-19,Foil,Womens,Europe/Zagreb,https://fie.org/competitions/2013/444,2013-444,no pools data
243,1985,Championnats du Monde,Senior,SPAIN,1985-07-11,1985-07-21,Foil,Womens,Europe/Madrid,https://fie.org/competitions/1985/243,1985-243,no pools data
765,2019,Championnats asiatiques cadets,Cadet,JORDAN,2019-02-27,2019-02-27,Foil,Womens,Asia/Amman,https://fie.org/competitions/2019/765,2019-765,no pools data
857,2020,Championnats d'Afrique juniors,Junior,GHANA,2020-02-26,2020-02-26,Foil,Womens,Africa/Porto-Novo,https://fie.org/competitions/2020/857,2020-857,
34,2007,Trophée Le Mura di Lucca,Junior,ITALY,2006-10-21,2006-10-21,Foil,Womens,Europe/Rome,https://fie.org/competitions/2007/34,2007-34,no pools data
933,2009,Championnats méditerranéens cadets,Cadet,PORTUGAL,2009-06-20,2009-06-20,Foil,Womens,Europe/Lisbon,https://fie.org/competitions/2009/933,2009-933,no pools data
129,2017,The Artus Court PKO BP,Senior,POLAND,2017-02-03,2017-02-04,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2017/129,2017-129,
125,2019,Coupe du monde fleuret d'Alger by Ooredoo ,Senior,ALGERIA,2018-11-23,2018-11-24,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2019/125,2019-125,
363,2004,Championnats Panaméricains J/C,Junior,FRANCE,2003-10-24,2003-10-31,Foil,Womens,Europe/Paris,https://fie.org/competitions/2004/363,2004-363,no pools data
765,2009,Championnats asiatiques cadets,Cadet,SINGAPORE,2009-07-16,2009-07-21,Foil,Womens,Asia/Singapore,https://fie.org/competitions/2009/765,2009-765,no pools data
1299,2019,Championnats d'Afrique,Cadet,ALGERIA,2019-02-18,2019-02-18,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2019/1299,2019-1299,no pools data
1281,2016,Trekanten International,Senior,DENMARK,2016-05-08,2016-05-08,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2016/1281,2016-1281,
1281,2019,Tournoi Satellite,Senior,MEXICO,2018-09-30,2018-09-30,Foil,Womens,America/Cancun,https://fie.org/competitions/2019/1281,2019-1281,
35,2017,Coupe du Monde,Junior,ITALY,2017-02-18,2017-02-18,Foil,Womens,Europe/Rome,https://fie.org/competitions/2017/35,2017-35,
933,2016,Сhampionnats de la Méditerranée,Cadet,ALGERIA,2016-01-29,2016-01-31,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/933,2016-933,no pools data
42,2009,Coupe du Monde,Junior,FRANCE,2009-02-01,2009-02-01,Foil,Womens,Europe/Paris,https://fie.org/competitions/2009/42,2009-42,no pools data
225,1984,Championnats du Monde,Junior,RUSSIA,1984-04-19,1984-04-23,Foil,Womens,Europe/Moscow,https://fie.org/competitions/1984/225,1984-225,no pools data
124,2005,Coupe du Monde,Senior,AUSTRIA,2005-05-07,2005-05-08,Foil,Womens,Europe/Vienna,https://fie.org/competitions/2005/124,2005-124,no pools data
1281,2018,Tournoi Satellite,Senior,MEXICO,2018-03-24,2018-03-25,Foil,Womens,America/Mexico_City,https://fie.org/competitions/2018/1281,2018-1281,
1067,2012,Champ. de qualification - Asie-Océanie,Senior,JAPAN,2012-04-20,2012-04-20,Foil,Womens,Asia/Tokyo,https://fie.org/competitions/2012/1067,2012-1067,no pools data
397,2019,Tournoi satellite,Senior,NETHERLANDS,2018-09-09,2018-09-09,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2019/397,2019-397,
933,2010,Championnats méditerranéens cadets,Cadet,SERBIA,2010-01-30,2010-02-01,Foil,Womens,Europe/Belgrade,https://fie.org/competitions/2010/933,2010-933,no pools data
124,2010,Coupe du Monde,Senior,AUSTRIA,2010-02-13,2010-02-14,Foil,Womens,Europe/Vienna,https://fie.org/competitions/2010/124,2010-124,no pools data
1230,2016,Tournoi satellite,Senior,TURKEY,2015-12-12,2015-12-13,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2016/1230,2016-1230,
458,2011,The Artus Court PKO BP,Senior,POLAND,2011-02-25,2011-02-26,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2011/458,2011-458,no pools data
37,2014,Coupe du Monde,Junior,POLAND,2013-12-14,2013-12-14,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2014/37,2014-37,no pools data
37,2008,Coupe du Monde,Junior,POLAND,2007-12-01,2007-12-01,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2008/37,2008-37,no pools data
1117,2014,World Combat Games,Senior,RUSSIA,2013-10-24,2013-10-26,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2014/1117,2014-1117,no pools data
225,1968,Championnats du Monde,Junior,GREAT BRITAIN,1968-04-12,1968-04-15,Foil,Womens,Europe/London,https://fie.org/competitions/1968/225,1968-225,no pools data
225,2015,Champ du monde juniors-cadets,Junior,UZBEKISTAN,2015-04-05,2015-04-05,Foil,Womens,Asia/Tashkent,https://fie.org/competitions/2015/225,2015-225,
129,2015,Coupe du Monde,Senior,ALGERIA,2015-02-06,2015-02-07,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2015/129,2015-129,
225,1990,Championnats du Monde,Junior,AUSTRIA,1990-04-11,1990-04-16,Foil,Womens,Europe/Vienna,https://fie.org/competitions/1990/225,1990-225,no pools data
351,2005,Championnats d’Europe juniors,Junior,PORTUGAL,2004-10-31,2004-11-06,Foil,Womens,Europe/Lisbon,https://fie.org/competitions/2005/351,2005-351,no pools data
122,2005,Coupe du Monde,Senior,CHINA,2005-03-05,2005-03-06,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2005/122,2005-122,no pools data
121,2018,Absolute Fencing Gear® Grand Prix,Senior,USA,2018-03-17,2018-03-18,Foil,Womens,America/Los_Angeles,https://fie.org/competitions/2018/121,2018-121,
225,1999,Championnats du Monde,Junior,HUNGARY,1999-03-30,1999-04-05,Foil,Womens,Europe/Budapest,https://fie.org/competitions/1999/225,1999-225,no pools data
933,2015,Сhampionnats de la Méditerranée,Cadet,SPAIN,2015-01-30,2015-02-01,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2015/933,2015-933,no pools data
765,2016,Championnats asiatiques cadets,Cadet,BAHRAIN,2016-02-25,2016-02-25,Foil,Womens,Asia/Riyadh,https://fie.org/competitions/2016/765,2016-765,no pools data
225,1966,Championnats du Monde,Junior,AUSTRIA,1966-04-07,1966-04-11,Foil,Womens,Europe/Vienna,https://fie.org/competitions/1966/225,1966-225,no pools data
255,2003,Jeux Asiatiques,Senior,KOREA,2002-09-29,2002-10-04,Foil,Womens,Asia/Seoul,https://fie.org/competitions/2003/255,2003-255,no pools data
243,1979,Championnats du Monde,Senior,AUSTRALIA,1979-08-18,1979-08-28,Foil,Womens,Australia/Melbourne,https://fie.org/competitions/1979/243,1979-243,no pools data
243,1997,Championnats du Monde,Senior,SOUTH AFRICA,1997-07-13,1997-07-19,Foil,Womens,Africa/Johannesburg,https://fie.org/competitions/1997/243,1997-243,no pools data
225,1974,Championnats du Monde,Junior,TURKEY,1974-04-12,1974-04-15,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/1974/225,1974-225,no pools data
39,2005,Coupe Heracles Junior,Junior,HUNGARY,2005-01-09,2005-01-09,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2005/39,2005-39,no pools data
1105,2015,Championnats du monde vétérans 50-59,Veterans,FRANCE,2015-10-20,2015-10-25,Foil,Womens,Europe/Paris,https://fie.org/competitions/2015/1105,2015-1105,
716,2007,Championnats Panaméricains,Senior,VENEZUELA,2006-10-27,2006-10-27,Foil,Womens,America/Caracas,https://fie.org/competitions/2007/716,2007-716,no pools data
771,2008,Championnats asiatiques juniors et cadets,Junior,KOREA,2008-10-24,2008-10-30,Foil,Womens,Asia/Seoul,https://fie.org/competitions/2008/771,2008-771,no pools data
237,2004,Champ du monde juniors-cadets,Cadet,BULGARIA,2004-04-03,2004-04-03,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2004/237,2004-237,no pools data
303,2003,Jeux centraméricains et des Caraïbes,Senior,EL SALVADOR,2002-11-23,2002-12-07,Foil,Womens,America/El_Salvador,https://fie.org/competitions/2003/303,2003-303,no pools data
37,2010,Coupe du Monde,Junior,POLAND,2009-11-28,2009-11-28,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2010/37,2010-37,no pools data
458,2019,Grand Prix,Senior,ITALY,2019-02-08,2019-02-10,Foil,Womens,Europe/Rome,https://fie.org/competitions/2019/458,2019-458,
225,1965,Championnats du Monde,Junior,NETHERLANDS,1965-04-16,1965-04-19,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/1965/225,1965-225,no pools data
41,2013,Tournoi international,Junior,GERMANY,2012-12-01,2012-12-01,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2013/41,2013-41,no pools data
702,2006,XXV Championnats Sudaméricains,Junior,ARGENTINA,2006-05-22,2006-05-22,Foil,Womens,America/Argentina/Catamarca,https://fie.org/competitions/2006/702,2006-702,no pools data
1111,2020,Championnats Panaméricains Cadets,Cadet,EL SALVADOR,2020-02-23,2020-02-23,Foil,Womens,America/El_Salvador,https://fie.org/competitions/2020/1111,2020-1111,no pools data
1006,2010,Singapore Cadet Fencing World Cup 2010,Cadet,SINGAPORE,2010-01-22,2010-01-22,Foil,Womens,Asia/Singapore,https://fie.org/competitions/2010/1006,2010-1006,no pools data
690,2006,XXV Championnats Sudaméricains,Cadet,ARGENTINA,2006-05-21,2006-05-21,Foil,Womens,America/Argentina/Catamarca,https://fie.org/competitions/2006/690,2006-690,no pools data
118,2010,Fleuret de St-Petersbourg,Senior,RUSSIA,2010-05-21,2010-05-22,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2010/118,2010-118,no pools data
35,2005,Stadtwerke-Pokal,Junior,GERMANY,2004-11-14,2004-11-14,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2005/35,2005-35,no pools data
939,2019,Championnats d'Europe Cadets,Cadet,ITALY,2019-02-24,2019-02-24,Foil,Womens,Europe/Rome,https://fie.org/competitions/2019/939,2019-939,no pools data
243,1975,Championnats du Monde,Senior,HUNGARY,1975-07-11,1975-07-21,Foil,Womens,Europe/Budapest,https://fie.org/competitions/1975/243,1975-243,no pools data
225,1992,Championnats du Monde,Junior,ITALY,1992-04-16,1992-04-20,Foil,Womens,Europe/Rome,https://fie.org/competitions/1992/225,1992-225,no pools data
35,2008,Stadtwerke-Pokal,Junior,GERMANY,2007-12-15,2007-12-15,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2008/35,2008-35,no pools data
34,2005,Tournoi international,Junior,ITALY,2004-12-18,2004-12-18,Foil,Womens,Europe/Rome,https://fie.org/competitions/2005/34,2005-34,no pools data
125,2014,Coupe du Monde,Senior,HUNGARY,2014-02-07,2014-02-08,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2014/125,2014-125,no pools data
118,2004,Fleuret de St-Petersbourg,Senior,RUSSIA,2004-03-27,2004-03-28,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2004/118,2004-118,no pools data
1359,2016,Championnats du monde vétérans 60-69,Veterans,GERMANY,2016-10-14,2016-10-14,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/1359,2016-1359,
131,2006,Tournoi Nancy Uranga,Senior,CUBA,2006-06-20,2006-06-21,Foil,Womens,America/Havana,https://fie.org/competitions/2006/131,2006-131,no pools data
37,2017,Coupe du Monde,Junior,GUATEMALA,2016-11-19,2016-11-19,Foil,Womens,America/Guatemala,https://fie.org/competitions/2017/37,2017-37,
118,2006,Fleuret de St-Petersbourg,Senior,RUSSIA,2006-05-05,2006-05-06,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2006/118,2006-118,no pools data
457,2010,World Cup,Senior,EGYPT,2010-03-19,2010-03-20,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2010/457,2010-457,no pools data
857,2015,Championnats d'Afrique cadets juniors,Junior,ALGERIA,2015-03-01,2015-03-05,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2015/857,2015-857,
927,2015,Сhampionnats de la Méditerranée,Junior,SPAIN,2015-01-30,2015-02-01,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2015/927,2015-927,no pools data
861,2008,Championnats de qualification de zones,Senior,THAILAND,2008-04-22,2008-04-23,Foil,Womens,Asia/Bangkok,https://fie.org/competitions/2008/861,2008-861,no pools data
122,2012,Coupe du Monde,Senior,CHINA,2012-05-04,2012-05-05,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2012/122,2012-122,no pools data
122,2009,Coupe du Monde,Senior,CHINA,2009-05-04,2009-05-05,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2009/122,2009-122,no pools data
812,2017,Championnats Panaméricains Juniors,Junior,CUBA,2017-03-02,2017-03-07,Foil,Womens,America/Havana,https://fie.org/competitions/2017/812,2017-812,
33,2013,Memorial de Martinengo,Junior,SLOVAKIA,2012-11-17,2012-11-17,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2013/33,2013-33,no pools data
225,1960,Championnats du Monde,Junior,RUSSIA,1960-04-15,1960-04-19,Foil,Womens,Europe/Moscow,https://fie.org/competitions/1960/225,1960-225,no pools data
1356,2018,Tournoi Satellite,Senior,ROMANIA,2018-05-13,2018-05-13,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2018/1356,2018-1356,
225,1972,Championnats du Monde,Junior,SPAIN,1972-03-30,1972-04-03,Foil,Womens,Europe/Madrid,https://fie.org/competitions/1972/225,1972-225,no pools data
225,1986,Championnats du Monde,Junior,GERMANY,1986-03-28,1986-04-01,Foil,Womens,Europe/Berlin,https://fie.org/competitions/1986/225,1986-225,no pools data
225,1959,Championnats du Monde,Junior,FRANCE,1959-03-28,1959-03-31,Foil,Womens,Europe/Paris,https://fie.org/competitions/1959/225,1959-225,no pools data
586,2019,Championnats d'Afrique,Senior,MALI,2019-06-26,2019-06-26,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2019/586,2019-586,
616,2007,Jeux Asiatiques,Senior,QATAR,2006-12-01,2006-12-15,Foil,Womens,Asia/Qatar,https://fie.org/competitions/2007/616,2007-616,no pools data
41,2010,Tournoi international,Junior,GERMANY,2010-01-24,2010-01-24,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2010/41,2010-41,no pools data
122,2006,Coupe du Monde,Senior,CHINA,2006-03-04,2006-03-05,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2006/122,2006-122,no pools data
771,2020,Championnats Asiatiques juniors,Junior,JORDAN,2020-03-01,2020-03-01,Foil,Womens,Asia/Amman,https://fie.org/competitions/2020/771,2020-771,
444,2018,Coupe du Monde,Junior,CUBA,2017-12-16,2017-12-16,Foil,Womens,America/Havana,https://fie.org/competitions/2018/444,2018-444,
225,1970,Championnats du Monde,Junior,RUSSIA,1970-03-24,1970-03-30,Foil,Womens,Europe/Minsk,https://fie.org/competitions/1970/225,1970-225,no pools data
237,1995,Championnats du Monde,Cadet,FRANCE,1995-04-11,1995-04-16,Foil,Womens,Europe/Paris,https://fie.org/competitions/1995/237,1995-237,no pools data
127,2013,Reinhold-Würth-Cup,Senior,GERMANY,2013-03-08,2013-03-09,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2013/127,2013-127,no pools data
598,2006,Championnats asiatiques juniors-cadets,Junior,KUWAIT,2006-04-24,2006-04-30,Foil,Womens,Asia/Kuwait,https://fie.org/competitions/2006/598,2006-598,no pools data
36,2006,Trophée Federico II,Junior,ITALY,2005-11-26,2005-11-26,Foil,Womens,Europe/Rome,https://fie.org/competitions/2006/36,2006-36,no pools data
1140,2013,Jeux méditerranéens,Senior,TURKEY,2013-06-22,2013-06-22,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2013/1140,2013-1140,no pools data
237,2012,Champ du monde juniors-cadets,Cadet,RUSSIA,2012-03-31,2012-03-31,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2012/237,2012-237,no pools data
